MUNICIPALIDAD_RAW,CATEGORIA,MUNICIPALIDAD_LIMPIA
M. D. DE CIRCA,G,CIRCA
M. D. DE OCUMAL,G,OCUMAL
M. D. DE UNION PROGRESO,G,UNION PROGRESO
M. D. DE SAQUENA,G,SAQUENA
M. D. DE COATA,G,COATA
M. D. DE MARMOT,G,MARMOT
M. D. DE CHUGUR,G,CHUGUR
M. D. DE CHANCAYBAÑOS,G,CHANCAYBANOS
M. D. DE LAGUNAS,G,LAGUNAS
M. D. DE SALPO,G,SALPO
M. D. DE ANDARAPA,G,ANDARAPA
M. D. DE SANTILLANA,G,SANTILLANA
M. D. DE ROSASPATA,G,ROSASPATA
M. D. DE VILQUE CHICO,G,VILQUE CHICO
M. D. DE PATAMBUCO,G,PATAMBUCO
M. D. DE ALIS,G,ALIS
M. D. DE GUZMANGO,G,GUZMANGO
M. D. DE NIEPOS,G,NIEPOS
M. D. DE CHANCAY,G,CHANCAY
M. D. DE CHIRIMOTO,G,CHIRIMOTO
M. D. DE MATARA,G,MATARA
M. D. DE SOROCHUCO,G,SOROCHUCO
M. D. DE CHADIN,G,CHADIN
M. D. DE LA RAMADA,G,LA RAMADA
M. D. DE SAN LUIS DE LUCMA,G,SAN LUIS DE LUCMA
M. D. UNION AGUA BLANCA,G,UNION AGUA BLANCA
M. D. DE COSME,G,COSME
M. D. DE PUCAYACU,G,PUCAYACU
M. D. DE BAMBAMARCA,G,BAMBAMARCA
M. D. DE AMANTANI,G,AMANTANI
M. D. DE ACHAYA,G,ACHAYA
M. D. DE CURPAHUASI,G,CURPAHUASI
M. D. DE CONDURIRI,G,CONDURIRI
M. D. DE TUPAC AMARU,G,TUPAC AMARU
M. D. DE COCHARCAS,G,COCHARCAS
M. D. DE HUANIPACA,G,HUANIPACA
M. D. DE GAMARRA,G,GAMARRA
M. D. DE LA CAPILLA,G,LA CAPILLA
M. D. DE HUAYLLACAYAN,G,HUAYLLACAYAN
M. D. DE URPAY,G,URPAY
M. D. DE MONOBAMBA,G,MONOBAMBA
M. D. DE YAUCA DEL ROSARIO,G,YAUCA DEL ROSARIO
M. D. DE LUCRE,G,LUCRE
M. D. DE CHALLHUAHUACHO,F,CHALLHUAHUACHO
M. D. DE QUIMBIRI,F,QUIMBIRI
M. D. DE TORATA,F,TORATA
M. D. DE ITE,F,ITE
M. D. DE PUINAHUA,F,PUINAHUA
M. D. DE VILLA VIRGEN,F,VILLA VIRGEN
M. D. DE PARCOY,F,PARCOY
M. D. DE HUANTAR,F,HUANTAR
M. D. DE HUACHIS,F,HUACHIS
M. D. DE HUACACHI,F,HUACACHI
M. D. DE EL INGENIO,F,EL INGENIO
M. D. DE HAQUIRA,F,HAQUIRA
M. D. DE MORONA,F,MORONA
M. D. DE LAS LOMAS,F,LAS LOMAS
M. D. DE VITOR,F,VITOR
M. D. DE PARDO MIGUEL,F,PARDO MIGUEL
M. D. DE CURAHUASI,F,CURAHUASI
M. D. DE LA MORADA,F,LA MORADA
M. D. DE AWAJUN,F,AWAJUN
M. D. DE VELILLE,F,VELILLE
M. D. DE YAMBRASBAMBA,F,YAMBRASBAMBA
M. D. DE HUANOQUITE,F,HUANOQUITE
M. D. DE MORO,F,MORO
M. D. DE POROY,F,POROY
M. D. DE MAZAN,F,MAZAN
M. D. DE FLORIDA,F,FLORIDA
M. D. DE ILLIMO,F,ILLIMO
M. D. DE COTABAMBAS,F,COTABAMBAS
M. D. DE PISAC,F,PISAC
M. D. DE CAMPOVERDE,F,CAMPOVERDE
M. D. DE EMILIO SAN MARTIN,F,EMILIO SAN MARTIN
M. D. DE SAMUGARI,F,SAMUGARI
M. D. STA. CATALINA DE MOSSA,F,STA CATALINA DE MOSSA
M. D. SAN JUAN TARUCANI,F,SAN JUAN TARUCANI
M. D. DE SAYLLA,F,SAYLLA
M. D. DE ANTAUTA,F,ANTAUTA
M. D. DE CUMBA,F,CUMBA
M. D. DE CULEBRAS,F,CULEBRAS
M. D. DE TRES UNIDOS,F,TRES UNIDOS
M. D. DE EL ESLABON,F,EL ESLABON
M. D. DE LA MATANZA,F,LA MATANZA
M. D. DE INDEPENDENCIA,F,INDEPENDENCIA
M. D. DE UCO,F,UCO
M. D. DE JANGAS,F,JANGAS
M. D. DE POMACANCHI,F,POMACANCHI
M. D. DE ALTO TAPICHE,F,ALTO TAPICHE
M. D. SAN PEDRO DE CHANA,F,SAN PEDRO DE CHANA
M. D. DE CARUMAS,F,CARUMAS
M. D. DE MARCARA,F,MARCARA
M. D. DE TABALOSOS,F,TABALOSOS
M. D. DE HUARANCHAL,F,HUARANCHAL
M. D. DE SAN JUAN DE BIGOTE,F,SAN JUAN DE BIGOTE
M. D. DE CONCHUCOS,F,CONCHUCOS
M. D. DE TAMBO,F,TAMBO
M. D. DE MASIN,F,MASIN
M. D. DE LLOCHEGUA,F,LLOCHEGUA
M. D. DE HUANCABAMBA,F,HUANCABAMBA
M. D. DE CACHICADAN,F,CACHICADAN
M. D. DE SANTA ROSA DE ALTO,F,SANTA ROSA DE ALTO
M. D. DE CAPELO,F,CAPELO
M. D. DE YAUTAN,F,YAUTAN
M. D. DE JAYANCA,F,JAYANCA
M. D. DE MOTUPE,F,MOTUPE
M. D. DE LONGAR,F,LONGAR
M. D. DE MARCAPOMACOCHA,F,MARCAPOMACOCHA
M. D. DE CHUSCHI,F,CHUSCHI
M. D. DE CHINCHERO,F,CHINCHERO
M. D. DE HUARO,F,HUARO
M. D. DE SUITUCANCHA,F,SUITUCANCHA
M. D. DE HUAROCONDO,F,HUAROCONDO
M. D. DE CABANILLAS,F,CABANILLAS
M. D. DE TAPICHE,F,TAPICHE
M. D. DE YANAS,F,YANAS
M. D. DE TINGO,F,TINGO
M. D. DE ANGASMARCA,F,ANGASMARCA
M. D. DE MANCOS,F,MANCOS
M. D. DE CHAGLLA,F,CHAGLLA
M. D. DE TUCUME,F,TUCUME
M. D. DE PACHIZA,F,PACHIZA
M. D. DE CHECACUPE,F,CHECACUPE
M. D. DE OCUCAJE,F,OCUCAJE
M. D. DE AJOYANI,F,AJOYANI
M. D. DE PUERTO BERMUDEZ,F,PUERTO BERMUDEZ
M. D. DE PACAICASA,F,PACAICASA
M. D. DE PUCARA,F,PUCARA
M. D. DE PUCYURA,F,PUCYURA
M. D. DE LAMBRAMA,F,LAMBRAMA
M. D. DE AMASHCA,F,AMASHCA
M. D. DE LA PECA,F,LA PECA
M. D. DE IRAZOLA,F,IRAZOLA
M. D. DE CAMPORREDONDO,F,CAMPORREDONDO
M. D. DE CHAPARRA,F,CHAPARRA
M. D. DE ROSARIO,F,ROSARIO
M. D. DE SARAYACU,F,SARAYACU
M. D. DE TINTA,F,TINTA
M. D. DE CHICLA,F,CHICLA
M. D. DE INCLAN,F,INCLAN
M. D. ALONSO DE ALVARADO,F,ALONSO DE ALVARADO
M. D. SAN PEDRO DE CORIS,F,SAN PEDRO DE CORIS
M. D. DE SAN ANTON,F,SAN ANTON
M. D. DE SAYAN,F,SAYAN
M. D. DE CHICHAS,F,CHICHAS
M. D. DE POTONI,F,POTONI
M. D. DE JEPELACIO,F,JEPELACIO
M. D. DE PITIPO,F,PITIPO
M. D. DE LUYANDO,F,LUYANDO
M. D. DE SICCHEZ,F,SICCHEZ
M. D. DE USICAYOS,F,USICAYOS
M. D. DE ZURITE,F,ZURITE
M. D. DE CHACAPALPA,F,CHACAPALPA
M. D. DE QUILCAPUNCU,F,QUILCAPUNCU
M. D. DE PACCARITAMBO,F,PACCARITAMBO
M. D. DE OLLEROS,F,OLLEROS
M. D. DE RANRAHIRCA,F,RANRAHIRCA
M. D. DE PUYCA,F,PUYCA
M. D. DE ACOPIA,F,ACOPIA
M. D. DE ALTO BIAVO,F,ALTO BIAVO
M. D. DE PADRE MARQUEZ,F,PADRE MARQUEZ
M. D. DE SANTA ROSA DE QUIVES,F,SANTA ROSA DE QUIVES
M. D. DE PACHIA,F,PACHIA
M. D. DE PAMPAS DE HOSPITAL,F,PAMPAS DE HOSPITAL
M. D. DE POMACANCHA,F,POMACANCHA
M. D. DE CUYOCUYO,F,CUYOCUYO
M. D. DE CALANA,F,CALANA
M. D. DE HUANCARAMA,F,HUANCARAMA
M. D. DE CORANI,F,CORANI
M. D. DE PATAYPAMPA,F,PATAYPAMPA
M. D. DE HUAMANGUILLA,F,HUAMANGUILLA
M. D. DE MOSOC LLACTA,F,MOSOC LLACTA
M. D. DE COASA,F,COASA
M. D. DE ALTO SAPOSOA,F,ALTO SAPOSOA
M. D. DE ACOPAMPA,F,ACOPAMPA
M. D. DE YACUS,F,YACUS
M. D. DE MADRE DE DIOS,F,MADRE DE DIOS
M. D. DE MAÑAZO,F,MANAZO
M. D. DE HUATASANI,F,HUATASANI
M. D. DE NUÑOA,F,NUNOA
M. D. DE HUICUNGO,F,HUICUNGO
M. D. DE TINGO DE PONASA,F,TINGO DE PONASA
M. D. DE SHANAO,F,SHANAO
M. D. DE SHATOJA,F,SHATOJA
M. D. DE RONDOCAN,F,RONDOCAN
M. D. DE CUÑUMBUQUI,F,CUNUMBUQUI
M. D. DE HUAMBALPA,F,HUAMBALPA
M. D. DE QUIVILLA,F,QUIVILLA
M. D. DE AYAVI,F,AYAVI
M. D. DE YARABAMBA,E,YARABAMBA
M. D. DE PICHARI,E,PICHARI
M. D. DE MARCONA,E,MARCONA
M. P. DE ILABAYA,E,ILABAYA
M. D. DE UCHUMAYO,E,UCHUMAYO
M. D. DE BERNAL,E,BERNAL
M. D. DE LA JOYA,E,LA JOYA
M. D. DE CHALA,E,CHALA
M. D. DE EL ALTO,E,EL ALTO
M. D. DE HUASICANCHA,E,HUASICANCHA
M. D. DE MOROCOCHA,E,MOROCOCHA
M. D. DE COLAN,E,COLAN
M. D. DE COCACHACRA,E,COCACHACRA
M. D. DE NUEVO IMPERIAL,E,NUEVO IMPERIAL
M. D. DE VICE,E,VICE
M. D. DE SORITOR,E,SORITOR
M. D. DE OYOTUN,E,OYOTUN
M. D. DE LOBITOS,E,LOBITOS
M. D. DE NEPEÑA,E,NEPENA
M. D. DE QUEQUEÑA,E,QUEQUENA
M. D. DE SANTIAGO,E,SANTIAGO
M. D. DE MACHUPICCHU,E,MACHUPICCHU
M. D. DE NUEVA ARICA,E,NUEVA ARICA
M. D. DE MORROPON,E,MORROPON
M. D. DE CRUCERO,E,CRUCERO
M. D. DE SAMA,E,SAMA
M. D. DE LA BREA,E,LA BREA
M. D. DE SAMUEL PASTOR,E,SAMUEL PASTOR
M. D. DE PICSI,E,PICSI
M. D. CANOAS DE PUNTA SAL,E,CANOAS DE PUNTA SAL
M. D. DE LOS ORGANOS,E,LOS ORGANOS
M. D. DE ANDAHUAYLILLAS,E,ANDAHUAYLILLAS
M. D. DE OROPESA,E,OROPESA
M. D. DE CHOCOPE,E,CHOCOPE
M. D. DE HUALLANCA,E,HUALLANCA
M. D. DE QUILCAS,E,QUILCAS
M. D. DE VON HUMBOLDT,E,VON HUMBOLDT
M. D. DE ATICO,E,ATICO
M. D. DE PATAPO,E,PATAPO
M. D. DE CORRALES,E,CORRALES
M. D. DE PUNTA DE BOMBON,E,PUNTA DE BOMBON
M. D. DE VILLA RICA,E,VILLA RICA
M. D. DE CHONGOYAPE,E,CHONGOYAPE
M. D. DE VEGUETA,E,VEGUETA
M. D. DE JENARO HERRERA,E,JENARO HERRERA
M. D. DE SANTA RITA DE SIGUAS,E,SANTA RITA DE SIGUAS
M. D. DE ISLAY,E,ISLAY
M. D. DE CHACOCHE,E,CHACOCHE
M. D. DE QUERECOTILLO,E,QUERECOTILLO
M. D. DE EL TALLAN,E,EL TALLAN
M. D. DE PUNCHAO,E,PUNCHAO
M. D. DE JAZAN,E,JAZAN
M. D. DE ACARI,E,ACARI
M. D. DE ANCO HUALLO,E,ANCO HUALLO
M. D. DE SAMANCO,E,SAMANCO
M. D. DE LLACLLIN,E,LLACLLIN
M. D. DE MIGUEL CHECA,E,MIGUEL CHECA
M. D. DE DEAN VALDIVIA,E,DEAN VALDIVIA
M. D. DE IGNACIO ESCUDERO,E,IGNACIO ESCUDERO
M. D. DE CAMANTI,E,CAMANTI
M. D. NICOLAS DE PIEROLA,E,NICOLAS DE PIEROLA
M. D. DE CHAO,E,CHAO
M. D. DE SANTIAGO DE CAO,E,SANTIAGO DE CAO
M. D. DE BELLA UNION,E,BELLA UNION
M. D. DE ELIAS SOPLIN VARGAS,E,ELIAS SOPLIN VARGAS
M. D. DE SANGARARA,E,SANGARARA
M. D. DE AUCARA,E,AUCARA
M. D. DE CAMILACA,E,CAMILACA
M. D. DE CHICAMA,E,CHICAMA
M. D. DE PATIVILCA,E,PATIVILCA
M. D. DE REQUE,E,REQUE
M. D. DE COYA,E,COYA
M. D. DE PILLPINTO,E,PILLPINTO
M. D. DE OCOÑA,E,OCONA
M. D. DE SANTA EULALIA,E,SANTA EULALIA
M. D. DE MARCA,E,MARCA
M. D. DE TATE,E,TATE
M. D. DE SAN MATEO,E,SAN MATEO
M. D. DE SAÑO,E,SANO
M. D. DE ACHOMA,E,ACHOMA
M. D. SAN ISIDRO DE MAINO,E,SAN ISIDRO DE MAINO
M. D. DE PUQUINA,E,PUQUINA
M. D. DE YUCAY,E,YUCAY
M. D. DE PACHACUTEC,E,PACHACUTEC
M. D. DE VIRACO,E,VIRACO
M. D. SAN JOSE DE LOS MOLINOS,E,SAN JOSE DE LOS MOLINOS
M. D. DE ÑAHUIMPUQUIO,E,NAHUIMPUQUIO
M. D. DE MATAPALO,E,MATAPALO
M. D. DE SAN JACINTO,E,SAN JACINTO
M. D. DE SAN PEDRO DE CAJAS,E,SAN PEDRO DE CAJAS
M. D. JOSE MARIA QUIMPER,E,JOSE MARIA QUIMPER
M. D. DE LA CRUZ,E,LA CRUZ
M. D. DE CHONGOS BAJO,E,CHONGOS BAJO
M. D. DE GUADALUPITO,E,GUADALUPITO
M. D. DE SAN HILARION,E,SAN HILARION
M. D. DE SAUCE,E,SAUCE
M. D. DE YANTALO,E,YANTALO
M. D. DE CACATACHI,E,CACATACHI
M. D. DE QUILAHUANI,E,QUILAHUANI
M. D. DE HUAYA,E,HUAYA
M. D. DE CONGAS,E,CONGAS
M. D. DE SABAINO,E,SABAINO
M. D. DE NUEVO CHIMBOTE,D,NUEVO CHIMBOTE
M. D. DE VISTA ALEGRE,D,VISTA ALEGRE
M. D. CORONEL ALBARRACIN,D,CORONEL ALBARRACIN
M. D. DE CERRO COLORADO,D,CERRO COLORADO
M. D. DE SAN SEBASTIAN,D,SAN SEBASTIAN
M. D. DE CAYMA,D,CAYMA
M. D. DE SOCABAYA,D,SOCABAYA
M. D. DE MAJES,D,MAJES
M. D. ALTO SELVA ALEGRE,D,ALTO SELVA ALEGRE
M. D. DE EL ALGARROBAL,D,EL ALGARROBAL
M. D. DE VENTANILLA,D,VENTANILLA
M. D. DE TAMBO GRANDE,D,TAMBO GRANDE
M. D. DE TIABAYA,D,TIABAYA
M. D. DE MARIANO MELGAR,D,MARIANO MELGAR
M. D. DE CASTILLA,D,CASTILLA
M. D. DE YURA,D,YURA
M. D. DE SALAS,D,SALAS
M. D. DE CATACAOS,D,CATACAOS
M. D. DE LA BANDA DE SHILCAYO,D,LA BANDA DE SHILCAYO
M. D. SAN JUAN BAUTISTA,D,SAN JUAN BAUTISTA
M. D. DE CIUDAD NUEVA,D,CIUDAD NUEVA
M. D. DE MANANTAY,D,MANANTAY
M. D. DE LOS AQUIJES,D,LOS AQUIJES
M. D. DE LARCO HERRERA,D,LARCO HERRERA
M. D. DE CHARACATO,D,CHARACATO
M. D. DE SUBTANJALLA,D,SUBTANJALLA
M. D. DE LEONARDO ORTIZ,D,LEONARDO ORTIZ
M. D. DE TINGUIÑA,D,TINGUINA
M. D. DE SAMEGUA,D,SAMEGUA
M. D. DE SACHACA,D,SACHACA
M. D. DE PIMENTEL,D,PIMENTEL
M. D. DE JACOBO HUNTER,D,JACOBO HUNTER
M. D. DE TALAVERA,D,TALAVERA
M. D. DE NUEVA CAJAMARCA,D,NUEVA CAJAMARCA
M. D. DE LUIS BUSTAMANTE,D,LUIS BUSTAMANTE
M. D. DE WANCHAQ,D,WANCHAQ
M. D. DE PARCONA,D,PARCONA
M. D. DE LAREDO,D,LAREDO
M. D. DE PACASMAYO,D,PACASMAYO
M. D. DE PANGOA,D,PANGOA
M. D. DE SUPE,D,SUPE
M. D. DE GUADALUPE,D,GUADALUPE
M. D. DE AGUAS VERDES,D,AGUAS VERDES
M. D. DE SUNAMPE,D,SUNAMPE
M. D. DE POCOLLAY,D,POCOLLAY
M. D. DE CARMEN ALTO,D,CARMEN ALTO
M. D. DE MI PERU,D,MI PERU
M. D. DE COISHCO,D,COISHCO
M. D. DE PICHANAQUI,D,PICHANAQUI
M. D. DE IMPERIAL,D,IMPERIAL
M. D. DE PAIJAN,D,PAIJAN
M. D. DE MOLLEBAYA,D,MOLLEBAYA
M. D. DE MALA,D,MALA
M. D. DE CASA GRANDE,D,CASA GRANDE
M. D. DE LA PERLA,D,LA PERLA
M. D. LOS BAÑOS DEL INCA,D,LOS BANOS DEL INCA
M. D. DE PUNCHANA,D,PUNCHANA
M. D. DE SICAYA,D,SICAYA
M. D. DE SABANDIA,D,SABANDIA
M. D. DE FLORENCIA DE MORA,D,FLORENCIA DE MORA
M. D. DE HUAURA,D,HUAURA
M. D. DE YAUYOS,D,YAUYOS
M. D. DE PACOCHA,D,PACOCHA
M. P. J. BASADRE - LOCUMBA,B,J BASADRE LOCUMBA
M. P. DE CHUMBIVILCAS,B,CHUMBIVILCAS
M. P. DE HUARI,B,HUARI
M. P. DE AYABACA,B,AYABACA
M. P. DE LAURICOCHA-JESUS,B,LAURICOCHA JESUS
M. P. DE OTUZCO,B,OTUZCO
M. P. FITZCARRALD - SAN LUIS,B,FITZCARRALD SAN LUIS
M. P. DE CARHUAZ,B,CARHUAZ
M. P. COTABAMBAS -TAMBOBAMBA,B,COTABAMBAS TAMBOBAMBA
M. P. DE TAYACAJA - PAMPAS,B,TAYACAJA PAMPAS
M. P. DE LA MAR - SAN MIGUEL,B,LA MAR SAN MIGUEL
M. P. DE DATEM DEL MARAÑON,B,DATEM DEL MARANON
M.P. DE PATAZ - TAYABAMBA,B,PATAZ TAYABAMBA
M. P. DE CALCA,B,CALCA
M. P. DE SANTIAGO DE CHUCO,B,SANTIAGO DE CHUCO
M. P. CAYLLOMA - CHIVAY,B,CAYLLOMA CHIVAY
M. P. DE URUBAMBA,B,URUBAMBA
M. P. AYMARAES - CHALHUANCA,B,AYMARAES CHALHUANCA
M. P. DOS DE MAYO - LA UNION,B,DOS DE MAYO LA UNION
M. P. DE LUCANAS - PUQUIO,B,LUCANAS PUQUIO
M. P. DE CARABAYA - MACUSANI,B,CARABAYA MACUSANI
M. P. LUZURIAGA - PISCOBAMBA,B,LUZURIAGA PISCOBAMBA
M. P. DE GRAN CHIMU-CASCAS,B,GRAN CHIMU CASCAS
M. P. DE ANGARAES - LIRCAY,B,ANGARAES LIRCAY
M. P. DE LORETO - NAUTA,B,LORETO NAUTA
M. P. C. VILLAR - ZORRITOS,B,C VILLAR ZORRITOS
M. P. DE AMBO,B,AMBO
M. P. DE PACHITEA - PANAO,B,PACHITEA PANAO
M. P. DE HUAYLAS - CARAZ,B,HUAYLAS CARAZ
M. P. MARAÑON-HUACRACHUCO,B,MARANON HUACRACHUCO
M. P. DE SAN IGNACIO,B,SAN IGNACIO
M. P. DE CAMANA,B,CAMANA
M. P. DE CANAS - YANAOCA,B,CANAS YANAOCA
M. P. DE LA UNION - COTAHUASI,B,LA UNION COTAHUASI
M. P. DE SANDIA,B,SANDIA
M. P. DE YUNGUYO,B,YUNGUYO
M. P. DE GRAU - CHUQUIBAMBILLA,B,GRAU CHUQUIBAMBILLA
M. P. EL DORADO - SAN JOSE SISA,B,EL DORADO SAN JOSE SISA
M. P. DE LUYA - LAMUD,B,LUYA LAMUD
M. P. DE CONTUMAZA,B,CONTUMAZA
M. P. DE PALPA,B,PALPA
M. P. DE HUAMALIES - LLATA,B,HUAMALIES LLATA
M. P. DE PICOTA,B,PICOTA
M. P. DE ANTABAMBA,B,ANTABAMBA
M. P. DE RECUAY,B,RECUAY
M. P. DE CANGALLO,B,CANGALLO
M. P. DE HUALLAGA - SAPOSOA,B,HUALLAGA SAPOSOA
M. P. YAROWILCA - CHAVINILLO,B,YAROWILCA CHAVINILLO
M. P. SUCRE - QUEROBAMBA,B,SUCRE QUEROBAMBA
M. P. SAN ANTONIO DE PUTINA,B,SAN ANTONIO DE PUTINA
M. P. DE LAMAS,B,LAMAS
M. P. DE HUANCANE,B,HUANCANE
M. P. DE CANDARAVE,B,CANDARAVE
M. P. SANCHEZ CERRO - OMATE,B,SANCHEZ CERRO OMATE
M. P. DE AIJA,B,AIJA
M. P. DE MANU,B,MANU
M. P. DE LAMPA,B,LAMPA
M. P. DE CASTILLA - APLAO,B,CASTILLA APLAO
M. P. DE BONGARA - JUMBILLA,B,BONGARA JUMBILLA
M. P. DE BOLOGNESI - CHIQUIAN,B,BOLOGNESI CHIQUIAN
M. P. DE CANTA,B,CANTA
M. P. DE CAJATAMBO,B,CAJATAMBO
M. P. DE LIMA (CERCADO),A,LIMA CERCADO
M. P. DE ESPINAR,A,ESPINAR
M. P. DE EL SANTA - CHIMBOTE,A,EL SANTA CHIMBOTE
M. P. DE ICA,A,ICA
M. P. DE MARISCAL NIETO,A,MARISCAL NIETO
M. P. DE PIURA,A,PIURA
M. P. DE SECHURA,A,SECHURA
M. P. DEL CUZCO,A,DEL CUZCO
M. P. DEL ALTO AMAZONAS,A,DEL ALTO AMAZONAS
M. P. DEL CALLAO,A,DEL CALLAO
M. P. DE TALARA - PARIÑAS,A,TALARA PARINAS
M. P. DE SANCHEZ CARRION,A,SANCHEZ CARRION
M. P. DE PAITA,A,PAITA
M. P. DE HUARAZ,A,HUARAZ
M. P. LA CONVENCION - STA. ANA,A,LA CONVENCION STA ANA
M. P. DE ILO,A,ILO
M. P. DE REQUENA,A,REQUENA
M. P. DE CANCHIS - SICUANI,A,CANCHIS SICUANI
